Categoría,Modelo,AñoModelo,Fabricante,Combustible,TipoMotor,TamañoMotor
SUV,Highlander Hybrid AWD LTD/PLAT,2021.0,Toyota,Hybrid Electric,Spark Ignition,2.5L
Sedan/Wagon,Mirai Limited,2021.0,Toyota,Hydrogen Fuel Cell,Fuel Cell,134 kW
Sedan/Wagon,Mirai XLE,2021.0,Toyota,Hydrogen Fuel Cell,Fuel Cell,134 kW
Sedan/Wagon,Prius,2021.0,Toyota,Hybrid Electric,Spark Ignition,1.8L
Sedan/Wagon,Prius AWD,2021.0,Toyota,Hybrid Electric,Spark Ignition,1.8L
Sedan/Wagon,Prius Eco,2021.0,Toyota,Hybrid Electric,Spark Ignition,1.8L
SUV,RAV4 Hybrid AWD,2021.0,Toyota,Hybrid Electric,Spark Ignition,2.5L
SUV,Venza AWD,2021.0,Toyota,Hybrid Electric,Spark Ignition,2.5L
SUV,ID.4 1st,2021.0,Volkswagen,Electric,Electric Motor,150 kW
SUV,ID.4 AWD Pro,2021.0,Volkswagen,Electric,Electric Motor,80 and 150 kW
SUV,ID.4 Pro,2021.0,Volkswagen,Electric,Electric Motor,150 kW
SUV,ID.4 Pro S,2021.0,Volkswagen,Electric,Electric Motor,150 kW
SUV,ID.4 Pro S AWD ,2021.0,Volkswagen,Electric,Electric Motor,80 and 150 kW
Sedan/Wagon,S60 AWD,2021.0,Volvo,Plug-in Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,S90 AWD,2021.0,Volvo,Plug-in Hybrid Electric,Spark Ignition,2.0L
SUV,V60 AWD,2021.0,Volvo,Plug-in Hybrid Electric,Spark Ignition,2.0L
SUV,XC60 AWD,2021.0,Volvo,Plug-in Hybrid Electric,Spark Ignition,2.0L
SUV,XC90 AWD,2021.0,Volvo,Plug-in Hybrid Electric,Spark Ignition,2.0L
