CodigoCombustible,NombreEstacion,Dirección,Ciudad,Estado,AccesoPublico,Latitud,Longitud,IDEstacion
CNG,Town of Hempstead - Department of Conservation & Waterways,1401 Lido Blvd,Point Lookout,NY,False,40.592118,-73.585241,36583
CNG,Clean Energy - Town of Smithtown,85 Old Northport Rd,Kings Park,NY,True,40.873372,-73.274183,36779
E85,Eastport Valero,125 County Rd 51,Eastport,NY,True,40.836058,-72.744764,38035
E85,Horseblock Petroleum,1099 Horseblock Rd,Farmingville,NY,True,40.829874,-73.014191,38500
BD,National Grid - Bellmore,2400 Sunrise Hwy,Bellmore,NY,False,40.665994,-73.538672,38561
BD,National Grid - Greenlawn,288 Pulaski Rd,Greenlawn,NY,False,40.858225,-73.386115,38563
BD,National Grid - Patchogue,460 E Main St,Patchogue,NY,False,40.766924,-72.997863,38564
BD,National Grid - Hicksville,175 E Old Country Rd,Hicksville,NY,False,40.766992,-73.509655,38565
E85,Valero - Mount Sinai,767 New York Route 25A,Mt. Sinai,NY,True,40.9386342806941,-73.00980312540894,39210
E85,Valero - Selden,1274 Middle Country Rd,Selden,NY,True,40.862041,-73.057233,39211
E85,Norman's Auto Service,77-40 Hewlett St,New Hyde Park,NY,True,40.753274,-73.703397,40324
E85,Prestige Petroleum - Valero,5306 Route 9W,Newburgh,NY,True,41.555133,-74.004052,40325
E85,Conoco,690 Main St,New Rochelle,NY,True,40.904439,-73.787691,40632
ELEC,James J Peters VA Medical Center,130 W Kingsbridge Rd,Bronx,NY,False,40.867403,-73.906405,41240
CNG,Clean Energy - Syracuse - National Grid,7496 Round Pond Rd,Syracuse,NY,True,43.135479,-76.087402,42092
CNG,Clean N' Green,100 Ransier Dr,Buffalo,NY,True,42.844172,-78.747585,42093
CNG,HPW Energy Inc,8246 Route 5,Westfield,NY,True,42.340677,-79.595958,42590
E85,US Petroleum,236 Larkfield Rd,East Northport,NY,True,40.877161,-73.325083,43572
CNG,American Natural Gas,1392 Route 9,Fort Edward,NY,False,43.247885,-73.674145,43645
CNG,American Natural Gas,54 Doran Ave,Geneva,NY,False,42.881532,-76.971415,43646
ELEC,Thruway Nissan,79 Route 17K,Newburgh,NY,True,41.504105,-74.068916,44174
ELEC,Thruway Nissan,79 Route 17K,Newburgh,NY,False,41.504105,-74.068916,44175
ELEC,Country Club Imports,55 Oneida St,Oneonta,NY,True,42.451285,-75.100333,44176
ELEC,Country Club Imports,55 Oneida St,Oneonta,NY,False,42.451285,-75.100333,44177
ELEC,West-Herr Nissan,3580 Southwestern Blvd,Orchard Park,NY,True,42.784867,-78.76558,44178
ELEC,West-Herr Nissan,3580 Southwestern Blvd,Orchard Park,NY,False,42.784867,-78.76558,44179
ELEC,Nissan 112,730 Route 112,Patchogue,NY,True,40.792986,-73.00827,44180
ELEC,Nissan 112,730 Route 112,Patchogue,NY,False,40.792986,-73.00827,44181
ELEC,Huttig Nissan,4670 State Route 9,Plattsburgh,NY,True,44.667361,-73.444894,44182
ELEC,Huttig Nissan,4670 State Route 9,Plattsburgh,NY,False,44.667361,-73.444894,44183
ELEC,Nissan City - Port Chester,225 Boston Post Rd,Port Chester,NY,True,40.996358,-73.669405,44184
ELEC,Nissan City - Port Chester,225 Boston Post Rd,Port Chester,NY,False,40.996358,-73.669405,44185
ELEC,Riverhead Auto Mall,1800 Old Country Rd,Riverhead,NY,True,40.924758,-72.704752,44186
ELEC,Riverhead Auto Mall,1800 Old Country Rd,Riverhead,NY,False,40.924758,-72.704752,44187
ELEC,Dorschel Nissan,3817 W Henrietta Rd,Rochester,NY,True,43.077581,-77.641934,44188
ELEC,Dorschel Nissan,3817 W Henrietta Rd,Rochester,NY,False,43.077581,-77.641934,44189
ELEC,Nissan of Smithtown,535 Middle Country Rd,St. James,NY,True,40.859886,-73.162067,44190
ELEC,Nissan of Smithtown,535 Middle Country Rd,St. James,NY,False,40.859886,-73.162067,44191
ELEC,Lia Nissan,2233 Central Ave,Schenectady,NY,True,42.764517,-73.88522,44192
ELEC,Lia Nissan,2233 Central Ave,Schenectady,NY,False,42.764517,-73.88522,44193
ELEC,Legend Nissan,268 Jericho Turnpike,Syosset,NY,False,40.809865,-73.507761,44198
ELEC,Gregoris Motors,555 W Merrick Rd,Valley Stream,NY,True,40.670497,-73.717206,44201
ELEC,Gregoris Motors,555 W Merrick Rd,Valley Stream,NY,False,40.670497,-73.717206,44202
ELEC,Legend Nissan,268 Jericho Turnpike,Syosset,NY,True,40.809865,-73.507761,44203
ELEC,Serafini Nissan-Volvo,3101 Vestal Pkwy E,Vestal,NY,True,42.095812,-76.003703,44204
ELEC,Serafini Nissan-Volvo,3101 Vestal Pkwy E,Vestal,NY,False,42.095812,-76.003703,44205
ELEC,Poughkeepsie Nissan,1445 Route 9,Wappingers Falls,NY,True,41.587383,-73.908392,44206
ELEC,Poughkeepsie Nissan,1445 Route 9,Wappingers Falls,NY,False,41.587383,-73.908392,44207
ELEC,Vision Nissan,785 Ridge Rd,Webster,NY,True,43.204065,-77.478237,44208
ELEC,Vision Nissan,785 Ridge Rd,Webster,NY,False,43.204065,-77.478237,44209
ELEC,Nissan of Westbury,939 Old Country Rd,Westbury,NY,True,40.753954,-73.561974,44212
ELEC,Nissan of Westbury,939 Old Country Rd,Westbury,NY,False,40.753954,-73.561974,44213
ELEC,West Herr Nissan - Williamsville,8137 Main St,Williamsville,NY,True,42.96275,-78.691132,44216
ELEC,Nissan of Yorktown Heights,3495 Old Crompond Rd,Yorktown Heights,NY,True,41.289317,-73.835547,44218
ELEC,Nissan of Yorktown Heights,3495 Old Crompond Rd,Yorktown Heights,NY,False,41.289317,-73.835547,44219
ELEC,Destination Nissan,770 Central Ave,Albany,NY,True,42.676971,-73.787334,44317
ELEC,Destination Nissan,770 Central Ave,Albany,NY,False,42.676971,-73.787334,44318
ELEC,Mike Barney Nissan,3676 Sheridan Dr,Amherst,NY,True,42.979725,-78.797346,44319
ELEC,Lebrun Nissan,396 Grant Ave,Auburn,NY,True,42.966894,-76.535879,44321
ELEC,Star Nissan,20602 Northern Blvd,Bayside,NY,True,40.758245,-73.776954,44323
ELEC,Star Nissan,20602 Northern Blvd,Bayside,NY,False,40.758245,-73.776954,44324
ELEC,Rockland Nissan,608 Route 303,Blauvelt,NY,True,41.071072,-73.950866,44325
ELEC,Rockland Nissan,608 Route 303,Blauvelt,NY,False,41.071072,-73.950866,44326
ELEC,Bay Ridge Nissan,6501 5th Ave,Brooklyn,NY,True,40.636324,-74.019228,44327
ELEC,Bay Ridge Nissan,6501 5th Ave,Brooklyn,NY,False,40.636324,-74.019228,44328
ELEC,Kings Nissan,2758 Coney Island Ave,Brooklyn,NY,True,40.589167,-73.960707,44329
ELEC,Kings Nissan,2758 Coney Island Ave,Brooklyn,NY,False,40.589167,-73.960707,44330
ELEC,Burdick Nissan,5885 E Circle Dr,Cicero,NY,True,43.147147,-76.114274,44331
ELEC,Burdick Nissan,5885 E Circle Dr,Cicero,NY,False,43.147147,-76.114274,44332
ELEC,Hoselton Nissan,66 Marsh Rd,East Rochester,NY,True,43.100001,-77.481422,44333
ELEC,Hoselton Nissan,66 Marsh Rd,East Rochester,NY,False,43.100001,-77.481422,44334
ELEC,Rockaway Nissan,600 Burnside Ave,Inwood,NY,True,40.622268,-73.742699,44336
ELEC,Rockaway Nissan,600 Burnside Ave,Inwood,NY,False,40.622268,-73.742699,44337
ELEC,Maguire Nissan,504 S Meadow St,Ithaca,NY,True,42.435042,-76.5088,44338
ELEC,Maguire Nissan,504 S Meadow St,Ithaca,NY,False,42.435042,-76.5088,44339
ELEC,Nemet Motors,153-12 Hillside Ave,Jamaica,NY,True,40.707242,-73.803844,44342
ELEC,Nemet Motors,153-12 Hillside Ave,Jamaica,NY,False,40.707242,-73.803844,44343
ELEC,Treiber Nissan,320 N Comrie Ave,Johnstown,NY,True,43.025044,-74.358103,44344
ELEC,Treiber Nissan,320 N Comrie Ave,Johnstown,NY,False,43.025044,-74.358103,44345
ELEC,Nissan - Garden City,316 N Franklin St,Hempstead,NY,True,40.71693,-73.630152,44346
ELEC,Nissan - Garden City,316 N Franklin St,Hempstead,NY,False,40.71693,-73.630152,44347
ELEC,Simmons Rockwell Nissan,224 Colonial Dr,Horseheads,NY,True,42.16246,-76.867435,44348
ELEC,Simmons Rockwell Nissan,224 Colonial Dr,Horseheads,NY,False,42.16246,-76.867435,44349
