Año,Fabricante,Modelo,ClaseVehículo,TipoCombustible,EficienciaConv,EficienciaAlt,CO2(g/pm),HibridoEnchufable,RangoAutonomia,CostoCombustible
2017,Maserati,Quattroporte GTS,Large Cars,Premium Gasoline,17.0,0.0,517.0,False,0.0,3850.0
2017,Honda,Fit,Small Station Wagons,Regular Gasoline,32.0,0.0,281.0,False,0.0,1650.0
2017,Chevrolet,Silverado 15 Hybrid 2WD,Standard Pickup Trucks 2WD,Regular Gasoline,20.0,0.0,447.0,False,0.0,2650.0
2017,Chevrolet,Silverado C15 2WD,Standard Pickup Trucks 2WD,Regular Gasoline,19.0,0.0,479.0,False,0.0,2800.0
2017,Chevrolet,Silverado K15 4WD,Standard Pickup Trucks 4WD,Regular Gasoline,17.0,0.0,531.0,False,0.0,3100.0
2017,Chevrolet,Silverado K15 4WD,Standard Pickup Trucks 4WD,Regular Gasoline,18.0,13.0,491.0,False,0.0,2950.0
2017,GMC,Sierra K15 4WD,Standard Pickup Trucks 4WD,Regular Gasoline,18.0,13.0,492.0,False,0.0,2950.0
2017,GMC,Sierra K15 4WD,Standard Pickup Trucks 4WD,Regular Gasoline,19.0,13.0,474.0,False,0.0,2800.0
2017,Chevrolet,Silverado C15 Cab Chassis 2WD,Special Purpose Vehicle 2WD,Regular Gasoline,17.0,0.0,523.0,False,0.0,3100.0
2017,GMC,Sierra K15 Cab Chassis 4WD,Special Purpose Vehicle 4WD,Regular Gasoline,17.0,0.0,523.0,False,0.0,3100.0
2017,Volkswagen,Tiguan,Small Sport Utility Vehicle 2WD,Premium Gasoline,22.0,0.0,412.0,False,0.0,2950.0
2017,Land Rover,Range Rover Evoque,Small Sport Utility Vehicle 4WD,Premium Gasoline,24.0,0.0,372.0,False,0.0,2700.0
2017,Land Rover,Range Rover Evoque Convertible,Small Sport Utility Vehicle 4WD,Premium Gasoline,23.0,0.0,391.0,False,0.0,2850.0
2017,Chevrolet,Tahoe C1500 2WD,Standard Sport Utility Vehicle 2WD,Regular Gasoline,19.0,0.0,477.0,False,0.0,2800.0
2017,GMC,Yukon C1500 2WD,Standard Sport Utility Vehicle 2WD,Regular Gasoline,17.0,0.0,512.0,False,0.0,3100.0
2017,Chevrolet,Tahoe K1500 4WD,Standard Sport Utility Vehicle 4WD,Regular Gasoline,18.0,0.0,497.0,False,0.0,2950.0
2017,Chevrolet,Suburban K1500 4WD,Standard Sport Utility Vehicle 4WD,Regular Gasoline,18.0,12.0,502.0,False,0.0,2950.0
2017,GMC,Yukon K1500 XL 4WD,Standard Sport Utility Vehicle 4WD,Regular Gasoline,16.0,0.0,553.0,False,0.0,3300.0
2017,Maserati,Levante,Standard Sport Utility Vehicle 4WD,Premium Gasoline,16.0,0.0,548.0,False,0.0,4100.0
2017,Audi,S7,Midsize Cars,Premium Gasoline,21.0,0.0,427.0,False,0.0,3100.0
2017,Ferrari,GTC4Lusso,Minicompact Cars,Premium Gasoline,13.0,0.0,661.0,False,0.0,5050.0
2017,Volkswagen,Passat,Midsize Cars,Regular Gasoline,27.0,0.0,329.0,False,0.0,1950.0
2017,Audi,A8 L,Large Cars,Premium Gasoline,22.0,0.0,397.0,False,0.0,2950.0
2017,Jeep,Patriot 4WD,Small Sport Utility Vehicle 4WD,Regular Gasoline,22.0,0.0,400.0,False,0.0,2400.0
2017,Jeep,Compass 4WD,Small Sport Utility Vehicle 4WD,Regular Gasoline,22.0,0.0,400.0,False,0.0,2400.0
2017,MINI,Cooper Convertible,Minicompact Cars,Premium Gasoline,32.0,0.0,281.0,False,0.0,2050.0
2017,Acura,TLX FWD,Compact Cars,Premium Gasoline,25.0,0.0,358.0,False,0.0,2600.0
2017,BMW,M3,Compact Cars,Premium Gasoline,20.0,0.0,438.0,False,0.0,3250.0
2017,BMW,M4 Coupe,Compact Cars,Premium Gasoline,19.0,0.0,459.0,False,0.0,3450.0
2017,Audi,S6,Midsize Cars,Premium Gasoline,21.0,0.0,423.0,False,0.0,3100.0
2017,Fiat,500 L,Small Station Wagons,Premium Gasoline,25.0,0.0,356.0,False,0.0,2600.0
2017,Ford,Transit Connect Van FFV,Special Purpose Vehicle 2WD,Regular Gasoline,23.0,17.0,392.0,False,0.0,2300.0
2017,Jeep,Compass FWD,Small Sport Utility Vehicle 2WD,Regular Gasoline,24.0,0.0,378.0,False,0.0,2200.0
2017,Volkswagen,Tiguan 4motion,Small Sport Utility Vehicle 4WD,Premium Gasoline,21.0,0.0,424.0,False,0.0,3100.0
2017,BMW,X6 sDrive35i,Standard Sport Utility Vehicle 2WD,Premium Gasoline,21.0,0.0,426.0,False,0.0,3100.0
2017,Mercedes-Benz,SLC300,Two Seaters,Premium Gasoline,27.0,0.0,324.0,False,0.0,2400.0
2017,Fiat,500,Minicompact Cars,Premium Gasoline,27.0,0.0,326.0,False,0.0,2400.0
2017,Audi,S3,Subcompact Cars,Premium Gasoline,24.0,0.0,373.0,False,0.0,2700.0
