Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Manufacturer,Category,Fuel,Fuel Configuration Name,Electric-Only Range
12979,45,219,29,Explorer Platinum HEV ,2022,,,,25.0,25.0,25.0,SI,3.3L V6L,Ford,SUV,Hybrid Electric,Hybrid Electric,
13059,41,219,29,Mustang Mach-E AWD,2022,98.0,86.0,93.0,,,93.0,e-motor,198 kW,Ford,SUV,Electric,Dedicated,224.0
13056,41,219,29,Mustang Mach-E AWD California Route 1,2022,105.0,91.0,98.0,,,98.0,e-motor,258 kW,Ford,SUV,Electric,Dedicated,312.0
13060,41,219,29,Mustang Mach-E AWD Extended,2022,97.0,84.0,91.0,,,91.0,e-motor,258 kW,Ford,SUV,Electric,Dedicated,277.0
13057,41,219,29,Mustang Mach-E GT AWD,2022,90.0,77.0,84.0,,,84.0,e-motor,179 kW,Ford,SUV,Electric,Dedicated,270.0
13058,41,219,29,Mustang Mach-E GT Performance,2022,88.0,75.0,82.0,,,82.0,e-motor,179 kW,Ford,SUV,Electric,Dedicated,260.0
13053,41,219,29,Mustang Mach-E RWD,2022,110.0,96.0,103.0,,,103.0,e-motor,198 kW,Ford,SUV,Electric,Dedicated,247.0
13055,41,219,29,Mustang Mach-E RWD California Route 1,2022,108.0,94.0,101.0,,,101.0,e-motor,216 kW,Ford,SUV,Electric,Dedicated,314.0
13054,41,219,29,Mustang Mach-E RWD Extended,2022,104.0,90.0,97.0,,,97.0,e-motor,216 kW,Ford,SUV,Electric,Dedicated,303.0
12922,35,213,29,Yukon 2WD,2022,,,,21.0,27.0,24.0,CI,3.0L,GMC,SUV,Biodiesel (B20),Dedicated,
12921,35,213,29,Yukon 4WD,2022,,,,20.0,26.0,23.0,CI,3.0L,GMC,SUV,Biodiesel (B20),Dedicated,
12920,35,213,29,Yukon XL 2WD,2022,,,,21.0,27.0,24.0,CI,3.0L,GMC,SUV,Biodiesel (B20),Dedicated,
12919,35,213,29,Yukon XL 4WD,2022,,,,20.0,26.0,23.0,CI,3.0L,GMC,SUV,Biodiesel (B20),Dedicated,
12886,45,209,29,CR-V AWD,2022,,,,40.0,35.0,37.5,SI,2.0L,Honda,SUV,Hybrid Electric,Hybrid Electric,
