Year,Manufacturer,Model,Vehicle Class,Fuel,Consumption,CO2 (mg/mile)
2023,Rolls-Royce,Ghost,Full-size,Gasoline,5.26,241.09
2023,Rolls-Royce,Ghost Black Badge,Full-size,Gasoline,5.26,241.09
2023,Rolls-Royce,Ghost Extended,Full-size,Gasoline,5.26,241.09
2023,Rolls-Royce,Phantom,Full-size,Gasoline,5.34,246.68
2023,Rolls-Royce,Phantom Extended,Full-size,Gasoline,5.34,246.68
2023,Subaru,Ascent AWD,SUV: Standard,Gasoline,3.25,159.07
2023,Subaru,Crosstrek AWD,SUV: Small,Gasoline,2.25,114.33
2023,Subaru,Forester AWD,SUV: Small,Gasoline,2.38,119.3
2023,Subaru,Forester Wilderness AWD,SUV: Small,Gasoline,2.51,130.49
2023,Subaru,Legacy AWD,Full-size,Gasoline,2.67,129.87
2023,Subaru,Outback AWD,SUV: Small,Gasoline,2.8,137.32
2023,Subaru,Outback Wilderness AWD,SUV: Small,Gasoline,2.91,146.02
2023,Subaru,WRX AWD,Mid-size,Gasoline,3.35,162.8
2023,Toyota,4Runner 4WD,SUV: Standard,Gasoline,3.94,200.7
2023,Toyota,4Runner 4WD (Part-Time 4WD),SUV: Standard,Gasoline,3.91,198.84
2023,Toyota,Camry SE,Mid-size,Gasoline,2.25,108.12
2023,Toyota,Camry XSE V6/TRD,Mid-size,Gasoline,2.85,136.7
2023,Toyota,Camry AWD SE,Mid-size,Gasoline,2.48,119.3
2023,Toyota,Camry AWD XSE,Mid-size,Gasoline,2.51,121.17
2023,Toyota,Camry Hybrid LE,Mid-size,Gasoline,1.29,70.21
2023,Toyota,Camry Hybrid SE/XLE/XSE,Mid-size,Gasoline,1.4,75.19
2023,Toyota,Corolla (1-mode),Compact,Gasoline,1.95,98.18
2023,Toyota,Corolla (3-mode),Compact,Gasoline,2.01,99.42
2023,Toyota,Corolla Hatchback,Compact,Gasoline,1.98,98.8
2023,Toyota,Corolla Hybrid,Compact,Gasoline,1.16,68.35
2023,Toyota,Corolla Hybrid AWD (2-mode),Compact,Gasoline,1.22,71.46
2023,Toyota,Corolla Hybrid AWD (3-mode),Compact,Gasoline,1.32,77.05
2023,Toyota,Corolla Cross,SUV: Small,Gasoline,2.01,106.25
2023,Toyota,Corolla Cross AWD,SUV: Small,Gasoline,2.14,113.09
2023,Toyota,Corolla Cross Hybrid AWD,SUV: Small,Gasoline,1.37,80.78
2023,Toyota,Crown AWD,Mid-size,Gasoline,2.14,113.09
2023,Toyota,Highlander AWD,SUV: Small,Gasoline,2.91,143.54
2023,Toyota,Highlander Hybrid AWD,SUV: Standard,Gasoline,1.77,98.18
2023,Toyota,Highlander Hybrid AWD Limited/Platinum,SUV: Standard,Gasoline,1.74,96.93
2023,Toyota,Prius AWD,Mid-size,Gasoline,1.27,68.97
2023,Toyota,RAV4,SUV: Small,Gasoline,2.32,114.33
2023,Toyota,RAV4 AWD,SUV: Small,Gasoline,2.51,123.65
2023,Toyota,RAV4 AWD (Stop/Start),SUV: Small,Gasoline,2.32,116.2
2023,Toyota,RAV4 AWD LE,SUV: Small,Gasoline,2.3,114.33
2023,Toyota,RAV4 Hybrid AWD,SUV: Small,Gasoline,1.53,87.61
2023,Toyota,Sequoia 4WD,SUV: Standard,Gasoline,3.33,169.63
2023,Toyota,Venza AWD,SUV: Small,Gasoline,1.56,88.23
2023,Volkswagen,Atlas,SUV: Small,Gasoline,2.91,149.13
2023,Volkswagen,Atlas 4MOTION,SUV: Small,Gasoline,3.12,158.45
2023,Volkswagen,Atlas Cross Sport,SUV: Small,Gasoline,2.91,150.99
2023,Volkswagen,Atlas Cross Sport 4MOTION,SUV: Small,Gasoline,3.12,159.07
2023,Volkswagen,Golf GTI,Compact,Gasoline,2.56,123.03
2023,Volkswagen,Golf R,Compact,Gasoline,2.72,132.35
2023,Volkswagen,Jetta,Compact,Gasoline,2.03,98.8
2023,Volkswagen,Jetta Comfortline/Highline,Compact,Gasoline,2.14,103.77
2023,Volkswagen,Jetta GLI,Compact,Gasoline,2.38,114.95
2023,Volkswagen,Taos,SUV: Small,Gasoline,2.22,110.6
2023,Volkswagen,Taos 4MOTION,SUV: Small,Gasoline,2.51,124.27
2023,Volkswagen,Tiguan 4MOTION,SUV: Small,Gasoline,2.8,137.94
2023,Volkswagen,Tiguan R-Line 4MOTION,SUV: Small,Gasoline,2.91,142.29
2023,Volvo,S60 B5,Compact,Gasoline,2.38,115.58
2023,Volvo,S60 B5 AWD,Compact,Gasoline,2.48,119.92
2023,Volvo,S90 B6 AWD,Mid-size,Gasoline,2.72,131.11
2023,Volvo,XC40 B4 AWD,SUV: Small,Gasoline,2.64,129.25
2023,Volvo,XC40 B5 AWD,SUV: Small,Gasoline,2.69,133.59
2023,Volvo,XC60 B5 AWD,SUV: Small,Gasoline,2.72,135.46
2023,Volvo,XC60 B6 AWD,SUV: Small,Gasoline,2.93,144.78
2023,Volvo,XC90 B5 AWD,SUV: Standard,Gasoline,2.77,138.57
2023,Volvo,XC90 B6 AWD,SUV: Standard,Gasoline,3.14,154.72
